Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,Latitude,Longitude,City,County,State,Country,ISO_3166_2,SeverityScore,IncidentsTotal,UpdateDate,Version
dpz89kv,43.70773,-79.39133,43.70911,-79.38995,43.70837,-79.39063,Toronto,,Ontario,Canada,CA-ON,0.0443,6,2019-02-02,5.0
dpz9jr2,43.80936,-79.22241,43.81073,-79.22104,43.80954,-79.22227,Toronto,,Ontario,Canada,CA-ON,0.0317,7,2019-02-02,5.0
dpz2yy7,43.75992,-79.50394,43.76129,-79.50256,43.76031,-79.50323,Toronto,,Ontario,Canada,CA-ON,0.0872,7,2019-02-02,5.0
dpz88wf,43.71872,-79.42841,43.72009,-79.42703,43.71963,-79.42747,Toronto,,Ontario,Canada,CA-ON,0.0158,7,2019-02-02,5.0
dpz2y3c,43.7352,-79.52866,43.73657,-79.52728,43.73634,-79.52745,Toronto,,Ontario,Canada,CA-ON,0.0528,7,2019-02-02,5.0
dpz95c6,43.7764,-79.28558,43.77777,-79.28421,43.77706,-79.28536,Toronto,,Ontario,Canada,CA-ON,0.0231,8,2019-02-02,5.0
dpz2pq9,43.62946,-79.48471,43.63083,-79.48334,43.63042,-79.48407,Toronto,,Ontario,Canada,CA-ON,0.016,8,2019-02-02,5.0
dpz2yt1,43.75305,-79.51767,43.75443,-79.5163,43.75362,-79.51681,Toronto,,Ontario,Canada,CA-ON,0.0392,8,2019-02-02,5.0
dpz2zph,43.76404,-79.49158,43.76541,-79.4902,43.76462,-79.49121,Toronto,,Ontario,Canada,CA-ON,0.0423,9,2019-02-02,5.0
dpz2zx9,43.76678,-79.47372,43.76816,-79.47235,43.76756,-79.47328,Toronto,,Ontario,Canada,CA-ON,0.0543,9,2019-02-02,5.0
dpz2q7m,43.65555,-79.52316,43.65692,-79.52179,43.65618,-79.52188,Toronto,,Ontario,Canada,CA-ON,0.0214,10,2019-02-02,5.0
dpz2w4v,43.69675,-79.53415,43.69812,-79.53278,43.69741,-79.53317,Toronto,,Ontario,Canada,CA-ON,0.0424,11,2019-02-02,5.0
dpz2n67,43.60611,-79.52591,43.60748,-79.52454,43.60615,-79.52558,Toronto,,Ontario,Canada,CA-ON,0.1548,11,2019-02-02,5.0
dpz9410,43.77502,-79.36523,43.7764,-79.36386,43.77527,-79.36471,Toronto,,Ontario,Canada,CA-ON,0.0435,12,2019-02-02,5.0
dpz2jkw,43.61847,-79.56573,43.61984,-79.56436,43.61883,-79.56509,Toronto,,Ontario,Canada,CA-ON,0.1439,17,2019-02-02,5.0
dpz2xqh,43.7146,-79.48059,43.71597,-79.47922,43.7149,-79.47943,Toronto,,Ontario,Canada,CA-ON,0.0468,19,2019-02-02,5.0
dpz87jq,43.66653,-79.31305,43.66791,-79.31168,43.66736,-79.31247,Toronto,,Ontario,Canada,CA-ON,0.0761,22,2019-02-02,5.0
dpz3p1m,43.7764,-79.4902,43.77777,-79.48883,43.77669,-79.4889,Toronto,,Ontario,Canada,CA-ON,0.1673,22,2019-02-02,5.0
dpz8u3w,43.73383,-79.25812,43.7352,-79.25674,43.73449,-79.25793,Toronto,,Ontario,Canada,CA-ON,0.0819,30,2019-02-02,5.0
dpz9h6z,43.78464,-79.25674,43.78601,-79.25537,43.78531,-79.25634,Toronto,,Ontario,Canada,CA-ON,0.0368,28,2019-02-02,5.0
