"","Geohash","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther","Count.Date","SeverityScore","IncidentsTotal","sum_acc_count","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume"
"102","dpz81p0",0.2169,0.0068,439,0.0437,0.1931,0.2529,0.0805,0.1379,0.2919,NA,NA,NA,NA,NA,NA
"103","dpz81p2",0.536,0.0667,15,0.0667,0.2,0,0.1333,0.3333,0.2667,2018-01-24,NA,NA,17,25571,163
"104","dpz81p3",0.4217,0.0217,92,0.0549,0.2418,0.4505,0.033,0,0.2198,NA,NA,NA,NA,NA,NA
"105","dpz81p6",0.3515,0.0118,85,0.0595,0.25,0.4524,0.0238,0,0.2143,NA,NA,NA,NA,NA,NA
"106","dpz81p7",0.5917,0.013,77,0.0526,0.25,0.4605,0.0263,0,0.2106,NA,NA,NA,NA,NA,NA
"107","dpz81p8",0.984,0.0714,14,0.0714,0,0.1429,0.0714,0.2857,0.4286,NA,NA,NA,NA,NA,NA
"108","dpz81p9",1.6411,0.0833,12,0,0.1667,0.1667,0.0833,0.3333,0.25,2011-11-03,NA,NA,NA,25651,56
"109","dpz81pb",1.2568,0.0145,138,0.029,0.1449,0.2754,0.0725,0.2464,0.2318,NA,NA,NA,NA,NA,NA
"110","dpz81pc",1.5418,0.0105,26985,0.0339,0.1562,0.2325,0.084,0.17,0.3234,2011-09-28,NA,NA,2,7407,517
"111","dpz81pd",0.4715,0.0339,59,0.0678,0.2034,0.1695,0.0169,0.1017,0.4407,NA,0.0159,3,NA,NA,NA
"112","dpz81pe",1.4467,0.0461,912,0.0386,0.215,0.1974,0.0386,0.0739,0.4365,NA,NA,NA,NA,NA,NA
"113","dpz81pf",1.0126,0.0047,46265,0.0372,0.1685,0.2556,0.0772,0.1585,0.303,NA,NA,NA,NA,NA,NA
