"","Geohash","year","month","Count.Date","X8.Peak.Hr.Vehicle.Volume","X8.Peak.Hr.Pedestrian.Volume","sum_acc_count","temp_chg","snow","rain","SeverityScore","IncidentsTotal","AvgAcceleration","PercentOfVehicles","AvgMonthlyVolume","PercentCar","PercentMPV","PercentLDT","PercentMDT","PercentHDT","PercentOther"
"90","dpz82d",2009,"09",2017-01-16,11340,4611,7,13.1,0,12.6,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"91","dpz82d",2007,"03",2017-01-16,11340,4611,2,15.2,16,15.2,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"92","dpz82d",2014,"08",2017-01-16,11340,4611,2,NA,0,6.6,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"93","dpz82d",2014,"04",2017-01-16,11340,4611,2,NA,0,32.1,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"94","dpz82d",2012,"10",2017-01-16,11340,4611,3,11,0,21,0.0111,4,1.6197,0.125,16,0.0625,0.3125,0.1875,0,0.0625,0.375
"95","dpz82e",2008,"04",2017-01-16,13223,5290,7,16.8,0,22,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"96","dpz82e",2010,"08",2017-01-16,13223,5290,2,13.3,0,36.3,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"97","dpz82e",2014,"08",2017-01-16,13223,5290,6,NA,0,6.6,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"98","dpz82e",2012,"11",2017-01-16,13223,5290,2,14.2,0,5.5,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"99","dpz82e",2013,"09",2017-01-16,13223,5290,3,13.3,0,23.9,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"100","dpz82e",2012,"05",2017-01-16,13223,5290,3,15.5,0,15.4,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"101","dpz82e",2014,"09",2017-01-16,13223,5290,3,14.4,0,27,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"102","dpz82e",2011,"08",2017-01-16,13223,5290,3,13.5,0,20.4,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"103","dpz82e",2017,"08",2017-01-16,13223,5290,2,11.9,0,8.5,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"104","dpz82e",2009,"11",2017-01-16,13223,5290,2,10.5,0,9.8,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"105","dpz82e",2015,"09",2017-01-16,13223,5290,2,14.3,0,16.6,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"106","dpz82e",2010,"06",2017-01-16,13223,5290,2,13.2,0,44.9,NA,NA,3.0769,0.1905,21,0,0.2381,0.2381,0,0.0952,0.4286
"107","dpz82f",2011,"11",2015-04-08,8875,2028,2,12.8,0,47,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"108","dpz82f",2013,"08",2015-04-08,8875,2028,3,11.8,0,38.6,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"109","dpz82f",2010,"12",2015-04-08,8875,2028,3,11,0,12.8,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"110","dpz82f",2012,"03",2015-04-08,8875,2028,2,15.4,0,6.2,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"111","dpz82f",2015,"02",2015-04-08,8875,2028,1,16.3,0,7.5,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"112","dpz82f",2016,"05",2015-04-08,8875,2028,2,16.1,0,6.7,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"113","dpz82f",2013,"12",2015-04-08,8875,2028,2,NA,17,17.1,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"114","dpz82f",2012,"05",2015-04-08,8875,2028,5,15.5,0,15.4,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"115","dpz82f",2015,"09",2015-04-08,8875,2028,2,14.3,0,16.6,NA,NA,4.0272,0.0333,30,0,0.2667,0.1,0,0.0667,0.5666
"116","dpz82g",2016,"11",2017-01-14,7251,3612,4,NA,0,21,NA,NA,2.6544,0.1429,14,0,0.1429,0.1429,0.1429,0,0.5713
"117","dpz82g",2008,"06",2017-01-14,7251,3612,3,15.5,0,28.3,NA,NA,2.6544,0.1429,14,0,0.1429,0.1429,0.1429,0,0.5713
"118","dpz82g",2007,"06",2017-01-14,7251,3612,3,16.5,0,10.3,NA,NA,2.6544,0.1429,14,0,0.1429,0.1429,0.1429,0,0.5713
"119","dpz82g",2013,"10",2017-01-14,7251,3612,2,NA,0,16.3,NA,NA,2.6544,0.1429,14,0,0.1429,0.1429,0.1429,0,0.5713
"120","dpz82g",2014,"11",2017-01-14,7251,3612,3,NA,0,16.1,NA,NA,2.6544,0.1429,14,0,0.1429,0.1429,0.1429,0,0.5713
"121","dpz82k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7687,0.2085,398,0.0606,0.1389,0.2904,0.0354,0.0707,0.404
"122","dpz82s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3811,0.0952,63,0,0.0317,0.6825,0,0,0.2858
"123","dpz82u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4676,0.0179,56,0,0.25,0.2143,0.0893,0.1607,0.2857
"124","dpz830",2013,"01",2016-09-17,12726,830,3,15.5,14,28.3,0.0313,7,2.7229,0.0769,13,0,0.0769,0.4615,0.1538,0.2308,0.077
"125","dpz830",2008,"09",2016-09-17,12726,830,1,13.2,0,18.5,0.0313,7,2.7229,0.0769,13,0,0.0769,0.4615,0.1538,0.2308,0.077
"126","dpz830",2015,"05",2016-09-17,12726,830,2,16.1,0,22.5,0.0313,7,2.7229,0.0769,13,0,0.0769,0.4615,0.1538,0.2308,0.077
"127","dpz830",2016,"01",2016-09-17,12726,830,12,NA,4,27.1,0.0313,7,2.7229,0.0769,13,0,0.0769,0.4615,0.1538,0.2308,0.077
"128","dpz830",2015,"10",2016-09-17,12726,830,2,15.6,0,58.3,0.0313,7,2.7229,0.0769,13,0,0.0769,0.4615,0.1538,0.2308,0.077
"129","dpz831",2016,"12",2017-06-14,6802,9439,2,NA,22,13.9,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"130","dpz831",2010,"02",2017-06-14,6802,9439,2,9.8,0,7.8,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"131","dpz831",2014,"03",2017-06-14,6802,9439,2,18.9,22,11.8,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"132","dpz831",2016,"01",2017-06-14,6802,9439,2,NA,4,27.1,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"133","dpz831",2012,"02",2017-06-14,6802,9439,2,9.7,0,12,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"134","dpz831",2013,"02",2017-06-14,6802,9439,5,14.9,26,30.4,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"135","dpz831",2013,"05",2017-06-14,6802,9439,3,18.6,0,40.9,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"136","dpz831",2012,"07",2017-06-14,6802,9439,2,14.3,0,33.4,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"137","dpz831",2012,"11",2017-06-14,6802,9439,3,14.2,0,5.5,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"138","dpz831",2008,"06",2017-06-14,6802,9439,2,15.5,0,28.3,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"139","dpz831",2007,"11",2017-06-14,6802,9439,3,10.3,0,31.1,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"140","dpz831",2007,"10",2017-06-14,6802,9439,13,14.2,0,21.7,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"141","dpz831",2011,"08",2017-06-14,6802,9439,3,13.5,0,20.4,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"142","dpz831",2007,"07",2017-06-14,6802,9439,3,14,0,61.1,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"143","dpz831",2011,"01",2017-06-14,6802,9439,2,14.3,0,9.2,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"144","dpz831",2013,"09",2017-06-14,6802,9439,2,13.3,0,23.9,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"145","dpz831",2015,"02",2017-06-14,6802,9439,3,16.3,0,7.5,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"146","dpz831",2011,"11",2017-06-14,6802,9439,6,12.8,0,47,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"147","dpz831",2009,"09",2017-06-14,6802,9439,3,13.1,0,12.6,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"148","dpz831",2009,"10",2017-06-14,6802,9439,3,12.3,0,21.1,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"149","dpz831",2016,"05",2017-06-14,6802,9439,2,16.1,0,6.7,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"150","dpz831",2016,"07",2017-06-14,6802,9439,2,14.3,0,16.4,0.0505,9,1.9686,0.2467,600,0.0067,0.2228,0.1725,0.0385,0.0436,0.5159
"151","dpz832",2010,"09",2016-09-17,19268,4619,4,13.2,0,26.9,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"152","dpz832",2011,"08",2016-09-17,19268,4619,4,13.5,0,20.4,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"153","dpz832",2014,"05",2016-09-17,19268,4619,7,13.9,0,14.4,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"154","dpz832",2009,"07",2016-09-17,19268,4619,2,12.6,0,32.8,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"155","dpz832",2017,"01",2016-09-17,19268,4619,2,11.4,3,18.3,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"156","dpz832",2016,"08",2016-09-17,19268,4619,3,NA,0,19.2,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"157","dpz832",2011,"07",2016-09-17,19268,4619,3,13.4,0,11.7,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"158","dpz832",2016,"06",2016-09-17,19268,4619,3,NA,0,17.8,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
"159","dpz832",2017,"07",2016-09-17,19268,4619,2,12.8,0,27,0.0309,15,3.4749,0.0067,149,0.047,0.1409,0.2081,0.0738,0.1409,0.3893
