,X,Y,Index_,ACCNUM,YEAR,LATITUDE,LONGITUDE,Ward_ID,Hood_ID,MONTH,DAY,Dark,Dawn,Daylight,Dusk,Inv_PED,Inv_CYC,Inv_AM,Inv_MC,Inv_TC,Speeding,Ag_Driv,Redlight,Alcohol,Disability,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,Geohash,Max_Temp,Min_Temp,Daily_dif,Ave_Temp,Rain_vol,Snow_vol
2435,-79.32779029,43.72734537999999,7400391,1288002,2012,43.72734538,-79.32779029,26,42,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,4.0,-4.0,7.0,0.6499999999999999,0.0,0.0
2436,-79.32779029,43.72734537999999,7400392,1288002,2012,43.72734538,-79.32779029,26,42,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,,,,,,,,,,,4.0,-4.0,7.0,0.6499999999999999,0.0,0.0
2437,-79.37649029,43.65484538,7487146,1324692,2012,43.65484538,-79.37649029,27,75,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,20.5,8.5,12.0,15.524999999999999,0.0,0.0
2438,-79.37649029,43.65484538,7487147,1324692,2012,43.65484538,-79.37649029,27,75,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,20.5,8.5,12.0,15.524999999999999,0.0,0.0
2439,-79.47158442,43.68212851,7858562,1373372,2013,43.68212851,-79.47158442,12,110,6,22,0,0,1,0,0,0,1,0,0,1,1,0,0,1,,,,,,,,,,,27.0,15.0,11.0,21.36,9.35,0.0
2440,-79.47158442,43.68212851,7858563,1373372,2013,43.68212851,-79.47158442,12,110,6,22,0,0,1,0,0,0,1,0,0,1,1,0,0,1,,,,,,,,,,,27.0,15.0,11.0,21.36,9.35,0.0
2441,-79.22531519,43.759811,80564709,6001249776,2016,43.759811,-79.22531519,43,137,7,16,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,24.0,13.3,10.3,18.8,0.06666666666666667,0.0
2442,-79.22531519,43.759811,80564710,6001249776,2016,43.759811,-79.22531519,43,137,7,16,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,24.0,13.3,10.3,18.8,0.06666666666666667,0.0
2443,-79.37099029,43.65824538000001,6592613,1217361,2011,43.65824538,-79.37099029,28,73,2,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,-3.1,-20.0,15.3,-10.275,0.0,0.26666666666666666
2444,-79.37099029,43.65824538000001,6592614,1217361,2011,43.65824538,-79.37099029,28,73,2,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,-3.1,-20.0,15.3,-10.275,0.0,0.26666666666666666
